Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,Country,City,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Payment Method
ORD-2426,2021-11-01,2021-11-06,CUST-864,Michael Smith,Corporate,Pakistan,Faisalabad,East,P-249,Technology,Tablets,iPad Air,8775.0,5,0.0,1249.98,Credit Card
ORD-2860,2021-11-01,2021-11-06,CUST-599,Cassandra Harrison,Corporate,Pakistan,Islamabad,Central,P-465,Technology,Laptops,Dell Inspiron,3001.5,3,0.06,666.68,Bank Transfer
ORD-3703,2021-11-02,2021-11-04,CUST-502,Michael Edwards,Corporate,Pakistan,Hyderabad,South,P-612,Electronics,Accessories,Wireless Earbuds,1533.0,2,0.07,457.69,Debit Card
ORD-1192,2021-11-02,2021-11-06,CUST-685,Karen Lamb,Consumer,Pakistan,Faisalabad,East,P-138,Office Supplies,Pens,Premium Pen Pack,147.0,1,0.1,17.31,Cash
ORD-3649,2021-11-03,2021-11-08,CUST-268,John Padilla,Corporate,Pakistan,Karachi,South,P-875,Furniture,Tables,Office Desk,526.5,3,0.05,151.35,Bank Transfer
ORD-3304,2021-11-04,2021-11-05,CUST-307,Ashley Kelly,Corporate,Pakistan,Lahore,North,P-359,Technology,Tablets,iPad Air,2719.5,1,0.1,760.8,Credit Card
ORD-2904,2021-11-05,2021-11-08,CUST-255,Melissa Parsons,Consumer,Pakistan,Rawalpindi,North,P-577,Electronics,Accessories,Wireless Earbuds,5370.0,4,0.13,815.2,Credit Card
ORD-1038,2021-11-05,2021-11-09,CUST-755,Dawn Mendoza,Home Office,Pakistan,Quetta,West,P-368,Electronics,Accessories,Wireless Earbuds,6438.0,4,0.11,1486.07,Credit Card
ORD-3143,2021-11-06,2021-11-08,CUST-150,Michael Williams,Home Office,Pakistan,Islamabad,Central,P-253,Technology,Monitors,Samsung Monitor,4125.0,5,0.15,1080.35,Debit Card
ORD-3480,2021-11-06,2021-11-08,CUST-568,Kathryn Perry,Consumer,Pakistan,Faisalabad,East,P-430,Furniture,Tables,Office Desk,1669.5,3,0.03,310.27,Cash
ORD-1715,2021-11-07,2021-11-11,CUST-375,Tracy Miles,Home Office,Pakistan,Quetta,West,P-597,Office Supplies,Binders,Document Binder Set,132.0,1,0.04,32.11,Bank Transfer
ORD-3671,2021-11-07,2021-11-12,CUST-683,Cynthia Phillips,Home Office,Pakistan,Hyderabad,South,P-301,Electronics,Accessories,Wireless Earbuds,1654.5,1,0.06,323.42,Bank Transfer
ORD-1522,2021-11-08,2021-11-12,CUST-303,Amber Nelson,Corporate,Pakistan,Multan,West,P-311,Furniture,Chairs,Office Chair,5790.0,5,0.15,1312.34,Debit Card
ORD-1547,2021-11-09,2021-11-10,CUST-527,Robert Garner,Home Office,Pakistan,Karachi,South,P-100,Furniture,Storage,Filing Cabinet,2556.0,4,0.16,656.1,Credit Card
ORD-3574,2021-11-10,2021-11-14,CUST-122,Aaron Dyer,Corporate,Pakistan,Karachi,South,P-558,Office Supplies,Binders,Document Binder Set,52.5,1,0.19,5.1,Cash
ORD-3118,2021-11-10,2021-11-12,CUST-509,Debbie Adams,Home Office,Pakistan,Hyderabad,South,P-457,Electronics,Accessories,Gaming Mouse,5610.0,4,0.13,1477.55,Debit Card
ORD-3209,2021-11-12,2021-11-15,CUST-203,Francisco Goodman,Home Office,Pakistan,Faisalabad,East,P-530,Technology,Tablets,iPad Air,4293.0,2,0.15,745.63,Credit Card
ORD-1511,2021-11-12,2021-11-16,CUST-138,Brianna Bruce,Corporate,Pakistan,Faisalabad,East,P-159,Electronics,Accessories,Wireless Earbuds,1330.5,1,0.02,214.68,Debit Card
